,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,,,,,,,,,,
2, Upazila,Small scale and cottage industry - Weaving/ Handloom,Small scale and cottage industry - Handy,Small scale and cottage industry - Husking crafts mill,Small scale and cottage industry - Goor processing,Small scale and cottage industry - Biri Factory,Small scale and cottage industry - Salt processing,Small scale and cottage industry - Dry fish processing,Small scale and cottage industry - Pottery,Small scale and cottage industry - Other
3,Kushtia Sadar,2646,9636,302,1,2,0,0,30,26
4,Bheramara,150,150,300,30,6,0,0,15,5
5,Daulatpur,513,4,753,131,4,0,0,21,0
6,Khoksa,3972,79,975,0,0,0,0,23,0
7,Kumarkhali,11288,30,1460,75,0,0,0,172,78
8,Mirpur,715,0,47,0,0,0,0,32,40
9,Total,19284,9899,3837,237,12,0,0,293,149
