,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,Rajbari,,,,,,,,,
2,,,,,,,,,,
3,Upazila,Small scale and cottage industry - Weaving/ handloom,Small scale and cottage industry - Handy,Small scale and cottage industry - Husking crafts mill,Small scale and cottage industry - Goor processing,Small scale and cottage industry - Biri factory,Small scale and cottage industry - Salt processing,Small scale and cottage industry - Dry fish processing,Small scale and cottage industry - Pottery,Small scale and cottage industry - Others
4,Baliakandi,34,485,815,0,0,0,0,55,0
5,Goalanda,0,0,15,0,0,0,0,0,0
6,Kalukhali,552,15,35,140,0,0,0,40,0
7,Pangsha,864,20,50,7500,0,0,0,75,0
8,Rajbari Sadar,200,30,60,25,0,0,0,70,0
9,Total,1650,550,975,7665,0,0,0,240,0
