,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Sonali and Janata bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2, Upazila,Sonali bank,Sonali bank,Sonali bank,Sonali bank,Sonali bank,Janata bank,Janata bank,Janata bank,Janata bank,Janata bank
3, Upazila,Number of  branch,Account,Account,Account,Account,Number of  branch,Account,Account,Account,Account
4, Upazila,Number of  branch,S.D,C.D,F.D,S.T.D,Number of  branch,S.D,C.D,F.D,S.T.D
5,Gopalganj Sadar,12,7543,0,346,100,2,15280,896,145,32
6,Kashiani,2,33067,1050,71,50,0,0,0,0,0
7,Kotalipara,1,561,18,95,35,1,500,40,50,1
8,Muksudpur,2,14200,2600,215,32,0,0,0,0,0
9,Tungipara,3,7080,393,108,48,1,949,236,57,17
10,Total,20,62451,4061,835,265,4,16729,1172,252,50
