,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,,,,,,,,,,
2, Upazila,Small scale and cottage industry - Weaving/ handloom,Small scale and cottage industry - Handy,Small scale and cottage industry - Husking crafts mill,Small scale and cottage industry - Goor processing,Small scale and cottage industry - Biri factory,Small scale and cottage industry - Salt processing,Small scale and cottage industry - Dry fish processing,Small scale and cottage industry - Pottery,Small scale and cottage industry - Others
3,Chhagalnaiya,0,301,180,0,0,0,0,90,0
4,Daganbhuiyan,0,0,20,96,0,0,0,0,0
5,Feni Sadar,0,26,24,0,0,0,0,0,76
6,Fulgazi,0,64,5400,0,0,0,0,39,0
7,Parshuram,0,261,105,12,0,0,0,2,25
8,Sonagazi,0,0,1000,0,0,0,0,5,0
9,Total,0,652,6729,108,0,0,0,136,101
