,0,1,2,3,4,5,6,7
0,"Number of household, population and density 2011",,,,,,,
1,,,,,,,,
2, Upazila, Household,Population Male,Population Female,Population Total,Sex ratio (M/F),Average size of household,Density per sq. km.
3,Assasuni,62037,133990,134764,268754,99,4.33,717
4,Debhata,29813,62429,62929,125358,99,4.20,724
5,Kalaroa,59282,116811,121181,237992,96,4.01,1028
6,Kaliganj,64909,136089,138800,274889,98,4.22,824
7,Satkhira Sadar,109105,230628,230264,460892,100,4.19,1156
8,Shyamnagar,72279,153441,164813,318254,93,4.39,162
9,Tala,72465,149389,150431,299820,99,4.13,889
10,Total,469890,982777,1003182,1985959,98,4.21,520
