,0,1,2,3,4,5,6,7
0,Land utilization (temporary cropped area) 2008,,,,,,,
1,"
Upazila",Current fallow,Temporary Cropped area,Temporary Cropped area,Temporary Cropped area,Temporary Cropped area,Temporary Cropped area,Productivity of crop
2,"
Upazila",Current fallow,Single,Double,Triple,Net,Gross,Productivity of crop
3,Fulchhari,1253,8072,18040,3200,29312,53752,183
4,Gaibandha Sadar,209,20231,20193,9497,49921,89108,179
5,Gobindaganj,342,18232,59730,17393,95355,189871,199
6,Palashbari,91,5627,25456,5004,36087,71551,198
7,Sadullapur,27,9876,33181,1554,44611,80900,181
8,Saghata,747,17642,19162,7186,43990,77524,176
9,Sundarganj,290,12943,38503,7995,59441,113934,192
10,Total,2959,92623,214265,51829,358717,676640,189
