,0,1,2,3,4,5,6,7
0,Number of technical personnel 2011,,,,,,,
1,,,,,,,,
2,Upazila/City corporation,Agricultural personnel,Live-stock personnel,Plant protection,Fishery personnel,Sanitary personnel,Family planning personnel,Trained midwives
3,Balaganj,27,3,0,3,6,124,56
4,Beanibazar,29,4,0,3,6,87,10
5,Bishwanath,22,4,0,3,5,67,10
6,Companiganj,11,5,0,3,5,38,10
7,Dakhin surma,15,3,0,3,4,61,4
8,Fenchuganj,20,4,0,5,2,37,2
9,Golapganj,36,4,9,4,3,77,3
10,Gowainghat,30,5,0,3,4,42,5
11,Jaintiapur,19,4,0,3,3,22,22
12,Kanaighat,35,11,0,5,7,100,2
13,Sylhet city corporation,0,14,0,13,8,43,29
14,Sylhet sadar,17,0,0,0,0,0,0
15,Zakiganj,31,5,0,3,2,56,4
16,Total,292,66,9,51,55,754,157
