,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Krishi and Co-operative bank 2011,,,,,,,,,,
1,"
Thana/Upazila",Krishi bank,Krishi bank,Krishi bank,Krishi bank,Krishi bank,Co-operative bank,Co-operative bank,Co-operative bank,Co-operative bank,Co-operative bank
2,"
Thana/Upazila",Number of branch,Account,Account,Account,Account,Number of branch,Account,Account,Account,Account
3,"
Thana/Upazila",Number of branch,S.D,C.D,F.D,S.T.D,Number of branch,S.D,C.D,F.D,S.T.D
4,Austagram,2,15111,64,51,3,0,0,0,0,0
5,Bajitpur,3,6509,116,94,8,0,0,0,0,0
6,Bhairab,1,13111,173,62,13,0,0,0,0,0
7,Hossainpur,1,5799,110,49,0,0,0,0,0,0
8,Itna,2,12562,106,17,9,0,0,0,0,0
9,Karimganj,2,5512,126,50,6,0,0,0,0,0
10,Katiadi,2,12717,75,77,5,0,0,0,0,0
11,Kishoreganj Sadar,3,18706,229,250,18,0,0,0,0,0
12,Kuliar-char,1,3261,214,30,2,0,0,0,0,0
13,Mithamain,1,3296,40,16,1,0,0,0,0,0
14,Nikli,1,8472,25,281,2,0,0,0,0,0
15,Pakundia,1,2052,148,142,45,1,0,0,0,283
16,Tarail,1,8,93,22,738,0,0,0,0,0
17,Total,21,107116,1519,1141,850,1,0,0,0,283
