,0,1,2,3,4
0,Number of branch of nationalized commercial bank 2011,,,,
1,Upazila,Number of branch,Number of employee,Number of savings A/C,Number of current A/C
2,Austagram,2,16,14509,1958
3,Bajitpur,4,40,35416,2255
4,Bhairab,5,59,20222,1935
5,Hossainpur,2,20,19712,2374
6,Itna,2,13,10050,1637
7,Karimganj,5,57,11183,1369
8,Katiadi,4,54,48232,3887
9,Kishoreganj Sadar,4,90,32903,4233
10,Kuliar-char,5,50,29592,2784
11,Mithamain,2,16,3717,724
12,Nikli,3,21,31556,10133
13,Pakundia,4,52,28746,1762
14,Tarail,2,20,4760,846
15,Total,44.00,508.00,290598,35897.00
