,0,1,2,3,4,5,6
0,Land area under irrigation for selected crops 2008,,,,,,
1,,,,,,,
2,Upazila,Paddy,Paddy,Wheat,Wheat,Potato,Potato
3,Upazila,Total area,Irrigated area,Total area,Irrigated area,Total area,Irrigated area
4,Adarsha Sadar,25270,12410,61,60,1021,1021
5,Barura,71544,25999,468,168,1904,1904
6,Brahmanpara,27316,18413,174,174,309,309
7,Burichang,46476,21535,79,37,1819,1819
8,Chandina,41757,20942,263,30,2864,2864
9,Chauddagram,67109,29555,184,35,473,473
10,Comilla Sadar Dakshin,63232,30458,123,26,621,621
11,Daudkandi,18850,17998,113,25,11433,11433
12,Debidwar,46747,27277,270,270,2545,2545
13,Homna,18091,13039,761,430,893,893
14,Laksam,35091,18589,86,27,112,112
15,Monoharganj,27811,23135,55,15,49,49
16,Meghna,13610,5516,635,260,731,731
17,Muradnagar,48987,34524,1719,50,595,595
18,Nangalkot,56588,24564,216,200,338,338
19,Titas,16371,15971,345,80,893,893
20,Total,624848,339925,5553,1887,26599,26599
