,0,1,2,3,4,5,6,7,8
0,"Number of growth centre, hat , bazar, poultry farm, dairy farm, nursery, horticulture centre, brick kiln, decorator service 2011",,,,,,,,
1,Jamalpur,,,,,,,,
2,,,,,,,,,
3,Upazila,Growth centre,Hat /bazar,Poultry farm,Dairy farm,Nursery,Horticulture centre,Brick kiln,Decorator service
4,Bakshiganj,5,25,68,86,8,0,4,10
5,Dewanganj,3,8,75,74,14,0,5,17
6,Islampur,4,56,99,56,46,0,5,26
7,Jamalpur Sadar,17,36,114,36,27,2,20,78
8,Madarganj,4,20,30,80,12,0,9,19
9,Melandaha,5,25,60,87,42,0,10,43
10,Sarishabari,5,40,225,56,42,0,10,27
11,Total,43,210,671,475,191,2,63,220
