,0,1,2,3,4,5,6,7,8,9,10,11
0,"Population and literacy rate of 1981, 1991, 2001 & 2011 and number of voter 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2, Upazila,Population (000),Population (000),Population (000),Population (000),Literacy rate (%),Literacy rate (%),Literacy rate (%),Literacy rate (%),Number of voter (000),Number of voter (000),Number of voter (000)
3, Upazila,1981,1991,2001,2011,1981,1991,2001,2011,Male,Female,Total
4,Bishwamvarpur,76,106,126,156,23.1,17.1,34.37,34.6,40,40,80
5,Chhatak,169,273,335,397,26.1,29.5,36.3,38.6,109,109,218
6,Dakshin Sunamganj,0,0,0,184,0,0,0,32.3,51,50,101
7,Derai,0,185,203,264,0,25.3,35.4,37.1,90,90,180
8,Dharmapasha,0,164,183,223,0,20.8,26.6,29.2,40,40,80
9,Doarabazar,136,157,179,228,12.8,15.6,30.8,30.4,57,62,119
10,Jagannathpur,163,188,225,259,21,27.9,45.3,39.9,69,71,140
11,Jamalganj,0,107,138,167,0,20.1,29.6,32.5,46,46,92
12,Shalla,70,90,101,113,17.1,21.8,34.3,36.4,33,33,66
13,Sunamganj Sadar,144,190,226,279,19.4,23.9,35.3,38.8,74,75,149
14,Tahirpur,121,133,155,215,11.7,17.2,31.2,33.4,53,54,107
15,Total,1647,1889,2263,2468,-,22.3,34.4,35.0,617,637,1254
