,0,1,2,3,4,5,6,7,8
0,"Number of secondary school  college (operating jointly), teacher and student by municipality 2011",,,,,,,,
1,Rajbari,,,,,,,,
2,,,,,,,,,
3,Upazila,Number of  institute,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
4,Baliakandi,0,0,0,0,0,0,0,0
5,Goalanda,0,0,0,0,0,0,0,0
6,Kalukhali,0,0,0,0,0,0,0,0
7,Pangsha,0,0,0,0,0,0,0,0
8,Rajbari Sadar,1,20,20,40,668,610,1278,32
9,Total,1,20,20,40,668,610,1278,32
