,0,1,2,3,4,5
0,Existing position of Government employee by category 2011,,,,,
1,,,,,,
2,Upazila,Class-I,Class-II,Class-III,Class-IV,Number of total employee
3,Adamdighi,37,34,370,179,620
4,Bogra sadar,178,120,1083,843,2224
5,Dhunat,21,27,772,78,898
6,Gabtali,47,29,904,140,1120
7,Dhupchanchia,27,23,230,100,382
8,Kahaloo,45,30,282,117,474
9,Nandigram,20,42,208,97,367
10,Sariakandi,27,39,313,129,508
11,Sherpur,91,54,378,249,772
12,Shibganj,34,31,287,127,479
13,Sonatola,25,14,239,76,354
14,Shajahanpur,66,59,740,164,1029
15,Total,618,502,5806,2299,9227
