,0,1,2,3,4
0,"Number of branch of specialized (Krishi, Co-operative etc) bank 2011",,,,
1,,,,,
2,Upazila,Number of branch,Number of employee,Number of savings A/C,Number of current A/C
3,Bhaluka,4,28,21260,458
4,Dhubaura,1,8,14490,95
5,Fulbaria,6,33,33540,279
6,Gaffargaon,3,0,0,0
7,Gauripur,0,0,0,0
8,Haluaghat,2,20,23466,747
9,Ishwargonj,5,28,46670,557
10,Muktagacha,1,9,12766,205
11,Mymensingh Sadar,7,154,26310,1161
12,Nandail,2,19,24187,292
13,Phulpur,4,40,48036,727
14,Trishal,3,28,37476,828
15,Total,38,367,288201,5349
