,0,1,2,3,4,5,6,7,8
0,"Number of technical and vocational institution, teacher and student 2011",,,,,,,,
1,Faridpur,,,,,,,,
2,,,,,,,,,
3, Upazila, Institution,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
4,Alfadanga,0,0,0,0,0,0,0,0
5,Bhanga,0,0,0,0,0,0,0,0
6,Boalmari,1,21,2,23,570,126,696,30
7,Charbhadrashon,0,0,0,0,0,0,0,0
8,Faridpur Sadar,10,209,37,246,4725,993,5718,24
9,Madhukhali,2,7,1,8,286,110,396,50
10,Nagarkanda,0,0,0,0,0,0,0,0
11,Sadarpur,2,6,3,9,70,8,150,17
12,Saltha,0,0,0,0,0,0,0,0
13,Total,15,243,43,286,5651,1237,6960,24
