,0,1,2,3,4,5,6,7,8,9,10,11
0,"Population and literacy rate of 1981, 1991, 2001 & 2011 and number of voter 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2, Upazila,Population (000) 1981,Population (000) 1991,Population (000) 2001,Population (000) 2011,Literacy rate (%) 1981,Literacy rate (%) 1991,Literacy rate (%) 2001,Literacy rate (%) 2011,Number of voter (000) Male,Number of voter (000) Female,Number of voter (000) Total
3,Bishwamvarpur,76,106,126,156,23.1,17.1,34.37,34.6,40,40,80
4,Chhatak,169,273,335,397,26.1,29.5,36.3,38.6,109,109,218
5,Dakshin Sunamganj,0,0,0,184,0,0,0,32.3,51,50,101
6,Derai,0,185,203,264,0,25.3,35.4,37.1,90,90,180
7,Dharmapasha,0,164,183,223,0,20.8,26.6,29.2,40,40,80
8,Doarabazar,136,157,179,228,12.8,15.6,30.8,30.4,57,62,119
9,Jagannathpur,163,188,225,259,21,27.9,45.3,39.9,69,71,140
10,Jamalganj,0,107,138,167,0,20.1,29.6,32.5,46,46,92
11,Shalla,70,90,101,113,17.1,21.8,34.3,36.4,33,33,66
12,Sunamganj Sadar,144,190,226,279,19.4,23.9,35.3,38.8,74,75,149
13,Tahirpur,121,133,155,215,11.7,17.2,31.2,33.4,53,54,107
14,Total,1647,1889,2263,2468,-,22.3,34.4,35.0,617,637,1254
