,0,1,2,3,4,5,6
0,Number of holding reporting cattle head 2008,,,,,,
1,,,,,,,
2, Upazila, Total holding,Number of holding based on cattle heads,Number of holding based on cattle heads,Number of holding based on cattle heads,Number of holding based on cattle heads,Number of holding based on cattle heads
3, Upazila, Total holding,1-3 head,4-6 head,7 -9 head,10-15 head,15 head & above
4,Fulchhari,17689,10424,4861,1352,946,106
5,Gaibandha Sadar,37021,23766,8569,2256,1463,967
6,Gobindaganj,70515,46346,17658,2817,2066,1628
7,Palashbari,31416,20681,7933,1261,867,674
8,Sadullapur,33732,21972,8648,1759,1120,233
9,Saghata,32286,21490,8010,1497,879,410
10,Sundarganj,50582,34862,10665,3055,1500,500
11,Total,273241,179541,66344,13997,8841,4518
