,0,1,2,3,4,5,6
0,Area and production of potato 2010-11,,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila Upazila Fulchhari Gaibandha Sadar Gobindaganj Palashbari Sadullapur Saghata Sundarganj Total,Potato Area 799 901 13960 2003 1510 900 2500 22573,Potato Production 4638 4069 100461 11900 9296 3375 16120 149860,Sweet potato Area 59 273 30 93 27 96 211 789,Sweet potato Production 86 112 220 501 119 689 633 2360,Total potato Area 858 1174 13990 2096 510 996 2711 22335,Total potato Production 4724 4181 100681 12402 9282 4064 16753 152088
3, Upazila,Potato,Potato,Sweet potato,Sweet potato,Total potato,Total potato
4, Upazila,Area,Production,Area,Production,Area,Production
5,Fulchhari,820,4214,58,86,878,4300
6,Gaibandha Sadar,825,3654,279,112,1104,3766
7,Gobindaganj,12020,91243,32,128,12052,91371
8,Palashbari,2000,5658,93,501,2093,6159
9,Sadullapur,1635,8226,32,144,1667,8370
10,Saghata,975,3998,104,659,1079,4657
11,Sundarganj,4975,15250,240,768,5215,16018
12,Total,23250,132243,838,2398,24088,134641
