,0,1,2,3,4,5,6,7,8,9,10,11
0,"Population and literacy rate of 1981, 1991, 2001 & 2011 and number of voter 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2, Upazila,Population (000),Population (000),Population (000),Population (000),Literacy rate (%),Literacy rate (%),Literacy rate (%),Literacy rate (%),Number of voter (000),Number of voter (000),Number of voter (000)
3, Upazila,1981,1991,2001,2011,1981,1991,2001,2011,Male,Female,Total
4,Daulotpur,138,138,156,167,13.6,20.0,28.4,34.9,51,55,106
5,Gheor,110,127,138,146,22.8,31.0,49.7,54.5,49,51,100
6,Horirampur,162,156,171,139,23.8,30.2,41.5,48.4,50,51,101
7,Manikganj Sadar,209,237,262,309,24.2,33.4,51.6,56.0,100,104,204
8,Saturia,128,140,155,171,13.0,22.0,36.9,47.3,53,58,112
9,Shibalaya,119,144,154,172,22.3,29.1,40.9,53.3,56,56,112
10,Singair,202,231,249,287,14.5,21.1,34.7,46.2,88,97,185
11,Total,1068,1173,1285,1393,20.5,26.9,41.0,49.2,447,472,920
