,0,1,2,3,4,5,6
0,"Area and production of pepper, onion and garlic 2010-11",,,,,,
1,Bhola,,,,,,
2,(Area in acre and production in metric ton),,,,,,
3, Upazila,Pepper - Area,Pepper - Production,Onion - Area,Onion - Production,Garlic - Area,Garlic - Production
4,Bhola Sadar,3026,2413,351,351,354,287
5,Burhanuddin,2408,698,457,1197,407,790
6,Char Fasson,23971,5872,690,1624,512,512
7,Daulatkhan,359,162,78,34,62,17
8,Lalmohan,5320,1215,224,525,574,1724
9,Manpura,440,88,4,1,7,2
10,Tazumuddin,400,80,19,85,56,209
11,Total,35924,10528,1823,3817,1972,3541
