,0,1,2,3,4,5,6,7,8,9
0,Number of selected industry by upazila 2011,,,,,,,,,
1,Chandpur,,,,,,,,,
2,,,,,,,,,,
3,Upazila,Textile mill,Garments factory,Rice mill,Match factory,Steel and engineering,Aluminium,Jute mill,Sugar mill,Others
4,Chandpur Sadar,0,0,99,1,0,1,2,0,0
5,Foridganj,0,1,117,0,0,0,0,0,0
6,Haimchar,0,0,15,0,0,0,0,0,0
7,Hajiganj,0,0,64,0,0,1,0,0,0
8,Kachua,0,0,117,0,0,1,0,0,0
9,Matlab Dakshin,0,0,36,0,0,0,0,0,0
10,Matlab Uttar,0,0,70,0,0,0,0,0,0
11,Shahrasti,0,0,55,0,0,0,0,0,0
12,Total,0,1,573,1,0,3,2,0,0
