,0,1,2,3,4,5
0,Sanction post of Government employee by category 2011,,,,,
1,Bogura,,,,,
2,,,,,,
3,Upazila,Class-I,Class-II,Class-III,Class-IV,Number of total employee
4,Adamdighi,62,54,577,277,970
5,Bogra sadar,272,165,1605,940,2982
6,Dhunat,27,52,921,86,1086
7,Gabtali,77,34,949,153,1213
8,Dhupchanchia,39,31,302,125,499
9,Kahaloo,61,41,344,152,598
10,Nandigram,38,44,235,129,446
11,Sariakandi,34,47,335,143,557
12,Sherpur,101,55,429,265,844
13,Shibganj,39,35,305,145,524
14,Sonatola,49,19,296,95,459
15,Shajahanpur,71,72,899,170,1212
16,Total,870,649,7197,2680,11390
