,0,1,2,3,4,5,6,7
0,Number of technical personnel 2011,,,,,,,
1,,,,,,,,
2,Upazila/city corporation,Agricultural personnel,Live-stock personnel,Plant protection,Fishery personnel,Sanitary personnel,Family planning personnel,Trained midwife
3,Bagha,20,6,0,5,9,60,0
4,Baghmara,44,5,4,15,1,134,64
5,Charghat,150,61,0,157,21,64,60
6,Durgapur,45,5,0,11,25,50,0
7,Godagari,31,6,0,3,5,10,0
8,Mohanpur,26,55,0,5,10,60,5
9,Paba,69,11,0,5,7,98,0
10,Puthia,30,13,0,9,8,133,90
11,Rajshahi city corporation,7,4,67,22,52,151,69
12,Tanore,300,80,0,290,29,110,67
13,Total,722,246,71,522,167,870,355
