,0,1,2,3,4,5,6,7,8,9
0,Number of selected industry 2011,,,,,,,,,
1,Chittagong,,,,,,,,,
2,,,,,,,,,,
3,Upazila/City corporation,Textile mill,Garments factory,Rice mill,Match factory,Steel and engineering,Aluminium,Jute mill,Sugar mill,Others
4,Anowara,0,0,13,0,0,0,0,0,0
5,Banshkhali,0,0,0,0,0,0,0,0,0
6,Boalkhali,0,1,41,0,1,0,0,0,0
7,Chandanaish,0,1,35,0,0,0,0,0,0
8,Chittagong City Corporation,34,288,,01,53,25,11,00,90
9,Fatikchhari,0,0,351,0,0,0,0,0,0
10,Hathazari,0,1,0,0,0,0,0,0,0
11,Lohagara,0,1,19,0,0,0,0,0,0
12,Mirsharai,0,0,175,0,0,0,0,0,0
13,Patiya,0,2,72,0,0,0,0,0,0
14,Rangunia,0,0,0,0,0,0,1,0,6
15,Raozan,0,0,0,0,0,0,0,0,0
16,Sandwip,0,0,131,0,0,0,0,0,0
17,Satkania,0,0,110,0,0,0,0,0,0
18,Sitakunda,1,4,0,1,2,0,0,1,25
19,Total,35,298,963,2,56,25,12,1,121
