,0,1,2,3,4,5
0,Sanction post of Government employee by category 2011,,,,,
1,Chittagong,,,,,
2,,,,,,
3,Upazila/City corporation,Class-I,Class-II,Class-III,Class-IV,Number of employee
4,Anowara,54,26,409,116,605
5,Banshkhali,59,33,442,103,637
6,Boalkhali,80,18,970,55,1123
7,Chittagong City Corporation,1050,1325,6214,5099,13685
8,Fatikchhari,25,51,1266,178,1520
9,Hathazari,84,7,1256,60,1400
10,Lohagara,40,12,187,79,318
11,Mirsharai,71,53,1365,554,2043
12,Patiya,85,145,262,138,0
13,Rangunia,57,25,391,110,583
14,Raozan,17,24,328,85,454
15,Sandwip,24,35,170,75,304
16,Satkania,98,35,1086,133,1342
17,Sitakunda,93,37,547,297,974
18,Total,1837,1826,14893,7082,24988
