,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,,,,,,,,,,
2, Upazila,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry
3, Upazila,Weaving/ handloom,Handy,Husking crafts mill,Goor processing,Biri factory,Salt processing,Dry fish processing,Pottery,Others
4,Bauphal,0,92,66,0,0,0,0,270,0
5,Dashmina,0,48,32,0,0,0,0,0,0
6,Dumki,0,0,32,0,0,0,0,0,0
7,Galachipa,17,0,355,0,0,0,25,0,0
8,Kalapara,428,1243,123,152,0,0,524,43,0
9,Mirzaganj,0,0,192,0,0,0,0,0,0
10,Patuakhali Sadar,0,0,55,0,1,0,0,0,0
11,Total,445,1383,855,152,1,0,549,313,0
