,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Sonali and Janata bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2, Upazila,Sonali bank,Sonali bank,Sonali bank,Sonali bank,Sonali bank,Janata bank,Janata bank,Janata bank,Janata bank,Janata bank
3, Upazila,Number of branch,Account,Account,Account,Account,Number of branch,Account,Account,Account,Account
4, Upazila,Number of branch,S.D,C.D,F.D,S.T.D,Number of branch,S.D,C.D,F.D,S.T.D
5,Bauphal,2,16133,1084,361,62,2,16022,721,249,28
6,Dashmina,1,0,0,135,35,1,0,54,41,11
7,Dumki,1,4100,210,250,50,0,0,0,0,0
8,Galachipa,3,0,0,482,78,1,0,2 91,52,10
9,Kalapara,3,766,44,41,29,1,205,15,20,14
10,Mirzaganj,1,317,38,69,0,1,232,73,10,0
11,Patuakhali Sadar,3,0,0,1895,428,3,0,0,1155,142
12,Total,14,21316,1376,3233,682,9,16459,863,1527,205
