,0,1,2,3,4,5,6,7,8
0,"Number of registered primary schools (class I-V), teacher and student 2011",,,,,,,,
1,,,,,,,,,
2,Upazila,Number of registered primary school,Number of teacher Male,Number of teacher Female,Number of teacher Total,Number of student Male,Number of student Female,Number of student Total,Students per teacher
3,Bhola Sadar,95,231,154,385,24267,19855,44122,115
4,Burhanuddin,86,232,84,316,8323,7923,16246,51
5,Char Fasson,112,257,151,408,10991,11419,22410,55
6,Daulatkhan,36,90,44,134,3678,4008,7686,57
7,Lalmohan,117,314,144,458,12696,13327,26023,57
8,Manpura,23,58,19,77,4491,5586,10077,131
9,Tazumuddin,57,117,90,207,5632,4966,10598,51
10,Total,526,1299,686,1985,70078,67084,137162,69
