,0,1,2,3,4,5,6,7,8
0,"Number of Government secondary school, teacher and student 2011",,,,,,,,
1,Patuakhali,,,,,,,,
2,,,,,,,,,
3,Upazila,Number of school,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
4,Bauphal,0,0,0,0,0,0,0,0
5,Dashmina,0,0,0,0,0,0,0,0
6,Dumki,0,0,0,0,0,0,0,0
7,Galachipa,0,0,0,0,0,0,0,0
8,Kalapara,0,0,0,0,0,0,0,0
9,Mirzaganj,0,0,0,0,0,0,0,0
10,Patuakhali Sadar,2,72,11,83,1620,1640,3260,39
11,Total,2,72,11,83,1620,1640,3260,39
