,0,1,2,3,4,5,6,7
0,Land utilization (temporary cropped area) 2008,,,,,,,
1,,,,,,,,
2,Upazila,Current fallow,Temporary cropped area Single,Temporary cropped area Double,Temporary cropped area Triple,Temporary cropped area Net,Temporary cropped area Gross,Productivity of crop
3,Akhaura,0,3900,11470,1595,16965,16965,16965
4,Ashuganj,41,618,10112,410,11140,22072,198
5,Banchharampur,80,10322,14745,4423,29490,53081,180
6,Bijoynagar,0,0,0,0,0,0,0
7,Brahmanbaria Sadar,2471,22938,34198,9998,76134,119328,157
8,Kasba,0,8000,24490,8190,40680,81550,2
9,Nabinagar,121,12926,19786,19010,51722,109528,212
10,Nasirnagar,28,43,22840,1612,67752,71876,1
11,Sarail,0,19761,17618,1358,38737,59071,152
12,Total,2741,78508,155259,46596,332620,533471,17867
