,0,1,2,3,4,5,6
0,"Number of municipality, union, mauza, mahalla and village 2011",,,,,,
1,Upazila,Municipality,"Ward
(PSA)",Mahalla,Union,Mauza,Village
2,Adarsha Sadar,1,18,49,7,145,193
3,Barura,1,9,26,14,212,314
4,Brahmanpara,0,0,0,8,53,65
5,Burichang,0,0,0,8,149,172
6,Chandina,1,9,19,13,121,223
7,Chauddagram,1,9,27,13,363,403
8,Comilla Sadar Dakshin,1,9,63,14,318,375
9,Daudkandi,1,9,26,15,168,267
10,Debidwar,1,9,22,15,129,192
11,Homna,1,9,13,9,70,154
12,Laksam,1,9,31,7,136,178
13,Monoharganj,0,0,0,11,145,181
14,Meghna,0,0,0,8,38,102
15,Muradnagar,0,0,0,22,154,305
16,Nangalkot,1,9,21,12,193,270
17,Titas,0,0,0,9,61,138
18,Total,10,99,297,185,2455,3532
