,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,,,,,,,,,,
2, Upazila,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry
3, Upazila,Weaving/ Handloom,Handy,Husking crafts mill,Goor processing,Biri factory,Salt processing,Dry fish processing,Pottery,Others
4,Badarganj,0,0,225,30,0,0,0,0,0
5,Gangachara,29,106,115,0,3,0,0,12,0
6,Kaunia,0,0,220,0,19,0,0,0,0
7,Mithapukur,0,315,93,232,1,0,0,133,0
8,Pirgachha,0,0,76,0,0,0,0,430,0
9,Pirganj,0,0,32,7,0,0,0,105,15
10,Rangpur sadar,0,0,240,0,0,0,0,120,60
11,Taraganj,0,0,10,0,0,0,0,0,0
12,Total,29,421,1011,269,23,0,0,800,75
