,0,1,2,3,4,5,6,7
0,Number of technical personnel 2011,,,,,,,
1,,,,,,,,
2, Upazila,Agricultural personnel,Live- stock personnel,Plant protection,Fishery personnel,Sanitary personnel,Family planning personnel,Trained midwife
3,Biral,58,41,31,385,48,96,110
4,Birampur,24,15,25,10,10,43,10
5,Birganj,99,11,36,430,12,69,0
6,Bochaganj,19,9,80,325,21,56,14
7,Chirirbandar,25,12,161,1050,108,108,36
8,Dinajpur Sadar,571,115,381,882,410,126,30
9,Fulbari,25,17,1,9,1,62,2
10,Ghoraghat,18,15,0,12,7,42,3
11,Hakimpur,15,32,4,3,5,26,7
12,Kaharole,107,22,80,535,92,74,0
13,Khansama,55,45,62,867,32,110,113
14,Nawabganj,89,25,0,129,12,42,3
15,Parbatipur,84,2053,17,911,57,245,60
16,Total,1189,2412,878,5548,815,1099,388
