,0,1,2,3,4,5,6,7
0,"Number of pond, dighee, flood camps, shelter, cyclone shelter, stadium,  playground, park,  amusement park 2011",,,,,,,
1,,,,,,,,
2,Upazila,Pond,Dighee,River flow,Flood camp/ shelter,Cyclone shelter,Stadium/ playground,Park/ amusement park
3,Atrai,3511,0,6,1,0,1,0
4,Badalgachhi,1611,137,1,0,0,1,0
5,Dhamoirhat,3412,9,2,0,0,0,0
6,Manda,5795,10,3,0,0,0,0
7,Mahadebpur,5972,3,1,7,1,51,1
8,Naogaon sadar,3150,7,1,0,0,2,2
9,Niamatpur,4951,0,1,0,0,0,0
10,Patnitala,7275,5,1,0,0,12,0
11,Porsha,2369,12,1,0,0,0,1
12,Raninagar,2295,3,2,0,0,0,0
13,Sapahar,3390,52,1,1,0,0,0
14,Total,43731,238,20,9,1,67,4
