,0,1,2,3,4,5
0,Number of employee by type 2011,,,,,
1,,,,,,
2, Upazila, Police personnel, Ansar personnel, VDP personnel,Autonomous body,Local Government employee
3,Atrai,38,356,12608,0,10
4,Badalgachhi,27,2500,8320,62,25
5,Dhamoirhat,28,131,12480,0,80
6,Manda,41,610,119136,94,149
7,Mahadebpur,41,320,9536,140,10
8,Naogaon sadar,349,516,14592,1074,230
9,Niamatpur,30,256,7232,23,120
10,Patnitala,33,416,32146,55,117
11,Porsha,29,256,4800,18,66
12,Raninagar,30,400,1048,22,88
13,Sapahar,27,324,8128,3,6
14,Total,673,6085,230026,1491,901
