,0,1,2,3,4
0,Number of low lift pump scheme 2010-11,,,,
1,,,,,
2, Upazila,Number of pump fielded - Electric,Number of pump fielded - Diesel,Number of pump fielded - Total,Area irrigated (in acre)
3,Atrai,10841,40788,51629,38260
4,Badalgachhi,170,5936,6106,100908
5,Dhamoirhat,114,3111,3225,32250
6,Manda,18,6795,6813,18250
7,Mahadebpur,734,13903,14637,56616
8,Naogaon sadar,1530,533,2063,44698
9,Niamatpur,504,4135,4639,27047
10,Patnitala,470,3793,4263,25729
11,Porsha,30,1550,1580,7064
12,Raninagar,310,5248,5558,26762
13,Sapahar,0,750,750,6250
14,Total,14721,86542,101263,383834
