,0,1,2,3,4
0,Number of establishment and person engaged in cottage industry 2011,,,,
1,,,,,
2, Upazila, Number of unit,Person engaged - Family,Person engaged - Hired,Person engaged - Total
3,Atrai,0,0,0,0
4,Badalgachhi,558,494,41,535
5,Dhamoirhat,154,0,0,0
6,Manda,231,569,0,569
7,Mahadebpur,795,1106,193,1299
8,Naogaon sadar,2466,4055,3975,8030
9,Niamatpur,304,1380,1055,2435
10,Patnitala,1860,1450,2595,4045
11,Porsha,631,675,1173,1848
12,Raninagar,1722,3250,150,3400
13,Sapahar,186,205,60,265
14,Total,8907,13184,9242,22426
