,0,1,2,3,4,5,6
0,"Area and production of papaya, guava, lime and lemon 2010-11",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila,Papaya,Papaya,Guava,Guava,Lime and lemon,Lime and lemon
3,Upazila,Area,Production,Area,Production,Area,Production
4,Bagerhat Sadar,126,989,6,285,32,217
5,Kachua,124,82,352,162,53,67
6,Rampal,20,72,47,29,10,3
7,Sarankhola,31,21,21,32,25,23
8,Chitalmari,68,320,7,40,9,84
9,Morrelgonj,24,141,86,248,70,205
10,Mongla,2,62,3,27,1,9
11,Mollahat,32,51,16,19,21,26
12,Fakirhat,60,138,94,81,85,56
13,Total,487,1876,632,923,306,690
