,0,1,2,3,4,5
0,Use of chemical fertilizer 2010-11,,,,,
1,,,,,,
2,Upazila,UREA,TSP,MP,DAP,Others
3,Adarsha Sadar,4200,3200,2175,165,738
4,Barura,11120,7200,6045,100,1650
5,Brahmanpara,3900,850,800,200,400
6,Burichang,5700,1200,1200,160,315
7,Chandina,5700,4350,3400,90,1820
8,Chauddagram,6780,1110,820,350,184
9,Comilla Sadar Dakshin,7164,1382,1170,75,0
10,Daudkandi,6960,1065,1110,110,0
11,Debidwar,4500,1000,900,400,700
12,Homna,2577,1327,1134,40,1257
13,Laksam,5165,830,668,40,216
14,Monoharganj,2870,1900,500,10,150
15,Meghna,2100,418,320,30,37
16,Muradnagar,7900,872,840,132,115
17,Nangalkot,61.1,947,700,40,50
18,Titas,3100,550,600,560,214
19,Total,79797,28201,22382,2502,7846
