,0,1,2,3,4,5,6
0,Population by religion 2011,,,,,,
1,Mymensingh,,,,,,
2,,,,,,,
3,Upazila,Muslim,Hindu,Buddhist,Christian,Others,Total
4,Bhaluka,410745,17381,35,1473,686,430320
5,Dhobaura,179371,6900,4,9907,102,196284
6,Fulbaria,436123,11143,6,1015,180,448467
7,Gaffargaon,424228,6152,6,17,343,430746
8,Gauripur,310045,12654,3,62,293,323057
9,Haluaghat,264933,12089,3,12772,246,290043
10,Ishwargonj,364229,12043,0,10,66,376348
11,Muktagacha,395926,18766,4,713,64,415473
12,Mymensingh Sadar,727835,46224,48,1332,294,775733
13,Nandail,394835,7543,0,18,331,402727
14,Phulpur,579302,20808,4,1056,596,601766
15,Trishal,407695,11323,3,71,216,419308
16,Total,4895267,183026,116,28446,3417,5110272
