,0,1,2,3,4,5,6,7,8
0,"Number of Government college, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Number of college,Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,Students per teacher
3, Upazila,Number of college,Male,Female,Total,Male,Female,Total,Students per teacher
4,Assasuni,0,0,0,0,0,0,0,0
5,Debhata,0,0,0,0,0,0,0,0
6,Kalaroa,1,19,3,22,739,445,1184,54
7,Kaliganj,0,0,0,0,0,0,0,0
8,Satkhira Sadar,2,60,33,93,10130,5330,15460,166
9,Shyamnagar,0,0,0,0,0,0,0,0
10,Tala,1,22,1,23,432,96,528,23
11,Total,4,101,37,138,11301,5871,17172,124
