,0,1,2,3,4,5,6,7,8
0,Area and production of pulse by type 2010-11,,,,,,,,
1,(Area in acre and production in metric ton),,,,,,,,
2,Upazila,Gram - Area,Gram - Production,Motor - Area,Motor - Production,Khesari - Area,Khesari - Production,Mash-kalai - Area,Mash-kalai - Production
3,Begumganj,0,0,0,0,8,3,2,1
4,Chatkhil,0,0,0,0,0,0,8,2
5,Companiganj,13,4,634,165,1676,812,25,8
6,Hatiya,126,47,556,221,4216,1802,109,34
7,Kabirhat,6,1,9,1,360,79,13,4
8,Noakhali Sadar,0,0,247,99,2346,470,69,17
9,Senbagh,0,0,13,4,13,5,9,3
10,Sonaimuri,1,0.2,1,1,5,1,2,1
11,Subarnachar,18,4.3,38,21,3041,1188,53,16
12,Total,164,56.5,1498,512,11665,4360,290,86
