,0,1,2,3,4,5
0,Land area based on utilization 2008,,,,,
1,,,,,,
2,Upazila,Operated area,Permanent cropped area,Temporary cropped area,Permanent fallow area,Others
3,Begumganj,57277,4286,38713,186,14278
4,Chatkhil,28698,3255,17914,68,7529
5,Companiganj,39219,2753,26583,187,9883
6,Hatiya,104572,4543,79863,155,20166
7,Kabirhat,34663,2636,24853,57,0
8,Noakhali Sadar,69223,4691,46861,85,17671
9,Senbagh,33108,1714,22791,160,8603
10,Sonaimuri,39482,2392,27964,46,9126
11,Subarnachar,84583,3241,66605,147,14737
12,Total,490825,29511,352147,1091,107167
