,0,1,2,3,4,5,6,7,8,9,10,11
0,"Population and literacy rate of 1981, 1991, 2001  2011 and number of voter 2011",,,,,,,,,,,
1,Bagerhat,,,,,,,,,,,
2,,,,,,,,,,,,
3,Upazila,Population (000) - 1981,Population (000) - 1991,Population (000) - 2001,Population (000) - 2011,Literacy rate () - 1981,Literacy rate () - 1991,Literacy rate () - 2001,Literacy rate () - 2011,Number of voter (000) - Male,Number of voter (000) - Female,Number of voter (000) - Total
4,Bagerhat Sadar,208,236,257,266,44.5,49.9,60.9,63.6,88,90,177
5,Kachua,78,93,100,97,33.0,42.5,62.0,56.8,31,32,63
6,Rampal,145,167,179,155,39.0,46.0,57.3,58.0,52,54,106
7,Sharonkhola,93,108,114,119,31.3,41.8,56.0,58.9,33,34,67
8,Chitolmari,106,127,139,139,27.8,37.0,58.7,56.2,41,41,82
9,Morrelgonj,273,321,350,295,27.8,49.5,62.4,60.7,88,91,178
10,Mongla,97,138,149,137,38.9,42.8,56.1,57.2,43,42,86
11,Mollahat,103,117,126,131,26.8,31.6,48.9,50.0,37,39,76
12,Fakirhat,108,123,134,138,36.0,43.0,58.8,62.0,44,43,87
13,Total,1211,1430,1549,1476,36.0,41.2,58.7,59.0,457,465,922
