,0,1,2,3,4,5,6,7,8
0,"Number of growth centre, hat , bazar, poultry farm, dairy farm, nursery, horticulture centre, brick kiln, decorator service 2011",,,,,,,,
1,Sunamganj,,,,,,,,
2,,,,,,,,,
3,Upazila,Growth centre,Hat /bazar,Poultry farm,Dairy farm,Nursery,Horticulture centre,Brick kiln,Decorator service
4,Bishwamvarpur,0,18,160,10,10,0,0,30
5,Chhatak,5,27,9,21,7,0,4,52
6,Dakshin Sunamganj,3,10,7,1,8,0,0,14
7,Derai,4,16,33,5,4,0,3,17
8,Dharmapasha,5,15,161,8,1,0,3,18
9,Doarabazar,5,32,42,0,3,0,0,25
10,Jagannathpur,3,31,10,1,1,0,1,55
11,Jamalganj,4,25,147,23,5,0,0,5
12,Shalla,3,7,60,0,1,0,0,4
13,Sunamganj Sadar,5,30,47,3,5,1,8,23
14,Tahirpur,4,16,0,0,12,0,0,7
15,Total,41,227,676,72,57,1,19,250
