,0,1,2,3,4,5,6,7,8,9
0,Number of selected industry by upazila 2011,,,,,,,,,
1,Sunamganj,,,,,,,,,
2,,,,,,,,,,
3,Upazila,Textile mill,Garments factory,Rice mill,Match factory,Steel and engineering,Aluminium,Jute mill,Sugar mill,Others
4,Bishwamvarpur,0,0,0,0,0,0,0,0,0
5,Chhatak,0,0,130,0,0,0,0,0,3
6,Dakshin Sunamganj,0,0,0,0,0,0,0,0,0
7,Derai,0,0,26,0,0,0,0,0,0
8,Dharmapasha,0,0,378,0,0,0,0,0,0
9,Doarabazar,0,0,55,0,0,0,0,0,0
10,Jagannathpur,0,0,18,0,0,0,0,0,0
11,Jamalganj,0,0,0,0,0,0,0,0,0
12,Shalla,0,0,50,0,0,0,0,0,0
13,Sunamganj Sadar,0,0,0,0,0,0,0,0,0
14,Tahirpur,0,0,0,0,0,0,0,0,0
15,Total,0,0,657,0,0,0,0,0,3
