,0,1,2,3,4,5,6,7,8
0,"Number of growth centre, hat-bazar, poultry farm, dairy farm, nursery, horticulture centre, brick kiln, decorator services 2011",,,,,,,,
1,Sylhet,,,,,,,,
2,,,,,,,,,
3,Upazila/City Corporation,Growth centre,Hat /bazar,Poultry farm,Dairy farm,Nursery,Horticulture centre,Brick kiln,Decorator services
4,Balaganj,5,21,65,15,10,0,32,41
5,Beanibazar,7,30,296,6,18,0,12,26
6,Bishwanath,4,38,28,9,6,0,9,33
7,Companiganj,4,19,22,3,1,0,0,12
8,Dakhin Surma,11,27,157,73,28,0,16,34
9,Fenchuganj,2,9,127,32,1,0,5,12
10,Golapganj,5,38,258,23,58,2,13,43
11,Gowainghat,4,39,0,0,26,0,10,24
12,Jaintiapur,3,6,119,264,26,1,2,11
13,Kanaighat,6,23,21,19,1,0,5,12
14,Sylhet City Corporation,0,15,0,0,4,0,0,91
15,Sylhet Sadar,8,27,95,35,15,8,15,31
16,Zakiganj,5,23,65,20,3,0,8,32
17,Total,64,315,1253,499,197,11,127,402
