,0,1,2,3,4,5
0,Cropped area sprayed with plant protection measures 2008,,,,,
1,,,,,,
2, Upazila,Total farm holding,Total farm holding,Spraying farm holding,Spraying farm holding,Reporting area sprayed
3, Upazila,Number,Cropped area,Number,Cropped area,Reporting area sprayed
4,Bagatipara,20656,27635,18636,24684,24684
5,Baraigram,43595,63468,3200,60121,22000
6,Gurudaspur,32960,42265,32960,42265,38675
7,Lalpur,36536,52815,34500,39579,29198
8,Natore Sadar,56097,71975,40620,50230,10313
9,Singra,66350,100245,42260,50809,50809
10,Total,256194,358403,172176,267688,175679
