,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,"
Upazila",Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry
2,"
Upazila","Weaving/
handloom",Handy,"Husking
crafts mill","Goor
processing","Biri
factory","Salt
processing","Dry fish
processing",Pottery,Others
3,Bagatipara,32,72,866,2860,2,0,0,16,130
4,Baraigram,2,0,105,162,0,0,0,32,0
5,Gurudaspur,10,865,3748,0,0,0,0,72,5
6,Lalpur,13,130,65,1100,0,0,0,43,50
7,Natore Sadar,26,120,4020,4310,2,0,7,42,11
8,Singra,13,375,5400,1000,0,0,4,21,4
9,Total,96,1562,14204,9432,4,0,11,226,200
