,0,1,2,3
0,Daily average wage rate of agricultural labour 2011,,,
1,(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka)
2,Upazila/City corporation,Labour,Labour,Labour
3,Upazila/City corporation,Male,Female,Child (under 15 years old)
4,Anowara,500,300,400
5,Banshkhali,500,200,400
6,Boalkhali,450,300,400
7,Chandanaish,400,250,400
8,Chittagong City Corp.,500,400,450
9,Fatikchhari,500,250,400
10,Hathazari,500,300,500
11,Lohagara,500,300,400
12,Mirsharai,500,300,500
13,Patiya,450,350,430
14,Rangunia,450,250,500
15,Raozan,500,250,450
16,Sandwip,550,250,300
17,Satkania,500,400,500
18,Sitakunda,400,300,400
19,Average,480,290,428
