,0,1,2,3,4,5,6,7,8
0,"Area and production of lentil (masur), mug and maize crops 2009-10",,,,,,,,
1,(Area in acre and production in metric ton),,,,,,,,
2,Upazila Upazila Belkuchi Chauhali Kamarkhanda Kazipur Royganj Shahjadpur Sirajganj Sadar Tarash Ullahpara Total,Lentil (Masur) Area 616 0 39 2025 25 335 61 27 20 3148,Lentil (Masur) Production 128 0 11 738 8 141 17 10 7 1060,Mug Area 0 0 10 25 30 0 0 0 0 65,Mug Production 0 0 0 10 10 0 0 0 0 20,Maize Area 21 2 0 3327 420 3 333 420 115 4641,Maize Production 18 5 0 9295 1360 5 877 823 247 12630,,
3,Upazila,Gram,Gram,Motor,Motor,Khesari,Khesari,Mash-kalai,Mash-kalai
4,Upazila,Area,Production,Area,Production,Area,Production,Area,Production
5,Belkuchi,0,0,0,0,225,45,746,225
6,Chauhali,11,4,4,2,145,56,4385,802
7,Kamarkhanda,0,0,0,0,0,0,7,2
8,Kazipur,124,43,49,16,1482,540,1976,680
9,Royganj,0,0,0,0,37,15,35,14
10,Shahjadpur,0,0,0,0,67,29,28,9
11,Sirajganj Sadar,0,0,0,0,2198,801,28405,926
12,Tarash,0,0,0,0,69,21,0,0
13,Ullahpara,0,0,0,0,24,12,172,24
14,Total,135,47,53,18,4247,1519,35754,2682
