,0,1,2,3,4,5
0,Number of branch and accounts of Krishi bank 2011,,,,,
1,"
Upazila",Krishi bank,Krishi bank,Krishi bank,Krishi bank,Krishi bank
2,"
Upazila","Number
of branch",Account,Account,Account,Account
3,"
Upazila","Number
of branch",S.D,C.D,F.D,S.T.D
4,Belkuchi,2,10,0,147,6
5,Chauhali,1,4070,19,45,4
6,Kamarkhanda,2,12963,77,302,5
7,Kazipur,3,18,9,56,12
8,Royganj,2,45,42,62,8
9,Shahjadpur,2,7669,150,78,12
10,Sirajganj sadar,3,2879,54,588,14
11,Tarash,1,3135,40,40,2
12,Ullahpara,5,6498,194,222,32
13,Total,21,37287,585,1540,95
