,0,1,2,3,4,5
0,Land area based on utilization 2008,,,,,
1,,,,,,
2,Upazila,Total area,Permanent cropped area,Temporary cropped area,Permanent fallow area,Others
3,Bagerhat Sadar,64427,12700,39224,556,12503
4,Kachua,25141,5989,15883,234,3272
5,Rampal,50896,4496,32212,351,14188
6,Sarankhola,27520,4107,19616,163,3797
7,Chitalmari,36046,2623,28097,1193,5326
8,Morrelgonj,79618,12693,53886,155,13039
9,Mongla,27859,1246,19296,970,7317
10,Mollahat,32507,2477,22938,578,7092
11,Fakirhat,37657,6862,18746,94,12049
12,Total,381671,53193,249898,4294,78583
