,0,1,2,3,4,5,6
0,"Area and production of pepper, onion and garlic 2010-11",,,,,,
1,Khagrachori,,,,,,
2,(Area in acre and production in metric ton),,,,,,
3,Upazila,Pepper Area,Pepper Production,Onion Area,Onion Production,Garlic Area,Garlic Production
4,Dighinala,223,950,5,160,13,240
5,Khagrachori,228,59,0,0,0,0
6,Laxshmichhari,142,56,7,9,7,6
7,Mahalchhari,37,10,15,15,12,11
8,Manikchhari,72,14,4,2,9,3
9,Matiranga,83,240,0,0,0,0
10,Panchhari,96,25,5,9,0,0
11,Ramgarh,50,120,0,0,0,0
12,Total,931,1474,36,195,41,260
