,0,1,2,3,4
0,Area and production of turmeric and ginger 2010-11,,,,
1,(Area in acre and production in metric ton),,,,
2,Upazila Upazila Bhurungamari Char Rajibpur Chilmari Kurigram Sadar Nageshwari Phulbari Rajarhat Raumari Ulipur Total - Upazila,Turmeric Area 135 25 46 67 44 66 52 20 59 514 - Turmeric - Area,Turmeric Production 135 70 31 1340 27 80 36 8 59 1786 - Turmeric - Production,Ginger Area 69 8 33 90 55 53 48 12 81 449 - Ginger - Area,Ginger Production 72 13 82 135 126 64 72 6 211 781 - Ginger - Production
3,Bhurungamari,134,134,68,71
4,Char Rajibpur,17,42,5,8
5,Chilmari,46,31,39,97
6,Kurigram Sadar,65,1300,80,130
7,Nageshwari,40,24,53,122
8,Phulbari,64,78,50,60
9,Rajarhat,53,36,49,72
10,Raumari,20,8,12,6
11,Ulipur,60,60,82,213
12,Total,499,1714,438,779
