,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from private commercial bank 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2,  Upazila,Number of branch of all private commercial banks,Number of borrower - Agriculture debt - Male,Number of borrower - Agriculture debt - Female,Number of borrower - Industry debt - Male,Number of borrower - Industry debt - Female,Number of borrower - Other debt - Male,Number of borrower - Other debt - Female,Number of borrower - Male,Number of borrower - Female,Number of borrower - Total debt (crore tk) - Male,Number of borrower - Total debt (crore tk) - Female
3,Akkelpur,0,0,0,0,0,0,0,0,0,0,0
4,Joypurhat sadar,7,121,0,0,0,784,21,905,21,40.65,2
5,Kalai,0,0,0,0,0,0,0,0,0,0,0
6,Khetlal,0,0,0,0,0,0,0,0,0,0,0
7,Panchbibi,0,0,0,0,0,0,0,0,0,0,0
8,Total,7,121,0,0,0,784,21,905,21,40.65,2
