,0,1,2,3,4,5
0,"Number of hat, bazar, growth centre, hotel & restaurant 2011",,,,,
1,"
Upazila",Daily bazar,"
Weekly hat",Growth centre,"
Restaurant",Hotel (residential)
2,Bishwamvarpur,20,6,2,1500,0
3,Chhatak,7,27,5,87,10
4,Dakshin Sunamganj,2,10,3,25,0
5,Derai,7,18,4,26,3
6,Dharmapasha,15,15,5,58,6
7,Doarabazar,7,25,5,38,2
8,Jagannathpur,13,18,3,18,3
9,Jamalganj,17,8,4,50,3
10,Shalla,4,3,3,4,0
11,Sunamganj Sadar,30,17,5,257,14
12,Tahirpur,10,6,14,60,2
13,Total,132,153,53,2123,43
