,0,1,2,3,4,5,6
0,Area and production of rice crops 2009-2010,,,,,,
1,(Area in acre and production in metric ton),,,,,,
2, Upazila,Aus - Area,Aus - Production,Aman - Area,Aman - Production,Boro - Area,Boro - Production
3,Chhagalnaiya,2175,1868,22679,24000,14924,19625
4,Daganbhuiyan,7130,4969,20700,22600,9977,13104
5,Feni Sadar,975,883,30891,33750,27105,32705
6,Fulgazi,634,507,3910,3500,11114,15286
7,Parshuram,436,374,14874,18195,11237,16524
8,Sonagazi,18710,16392,50880,44700,2398,14763
9,Total,30060,24993,143934,146745,76755,112007
