,0,1,2,3,4,5,6,7,8
0,Distribution of chemical fertilizer 2010-11,,,,,,,,
1,Rajshahi,,,,,,,,
2,,,,,,,,,
3,Upazila/city corporation,UREA,TSP,MP,DAP,HP,NPK,SP,Others
4,Bagha,4700,1200,1415,1245,0,667,0,450
5,Baghmara,13550,2431,2172,2901,0,50,0,0
6,Charghat,4091,2279,933,955,0,0,0,0
7,Durgapur,7386,1106,1239,2198,0,0,0,0
8,Godagari,13020,1777,17 06,2354,0,0,0,0
9,Mohanpur,7600,1414,1535,2100,0,0,0,793
10,Paba,8806,959,1624,2485,0,0,0,2323
11,Puthia,7387,817,1603,2405,0,0,0,0
12,Rajshahi City Corporation,700,234,186,414,0,27,0,118
13,Tanore,10640,1682,2380,4150,0,0,0,800
14,Total,70280,13899,7328,21207,0,744,0,4484
