,0,1,2,3,4
0,Number of Agriculture holding by tenure,,,,
1,Rajshahi,,,,
2,,,,,
3,Upazila/city corporation,Total farm holding,Owner holding,Owner cum tenant,Tenant holding
4,Bagha,27488,22918,4087,483
5,Baghmara,62375,34206,26853,1316
6,Charghat,47896,34005,10541,3350
7,Durgapur,32700,17800,13639,1261
8,Godagari,38922,15656,20816,2450
9,Mohanpur,39899,25335,11324,3240
10,Paba,36613,19899,14840,1874
11,Puthia,32486,17257,13614,1615
12,Rajshahi City Corporation,5528,3899,1429,200
13,Tanore,30455,22005,6950,1500
14,Total,354362,212980,124093,17289
