,0,1,2,3,4,5,6,7,8
0,"Number of Government secondary school, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Number of school,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
3,Belkuchi,0,0,0,0,0,0,0,0
4,Chauhali,0,0,0,0,0,0,0,0
5,Kamarkhanda,0,0,0,0,0,0,0,0
6,Kazipur,1,5,4,9,0,118,118,13
7,Royganj,0,0,0,0,0,0,0,0
8,Shahjadpur,0,0,0,0,0,0,0,0
9,Sirajganj Sadar,2,64,23,87,1088,1720,2808,32
10,Tarash,0,0,0,0,0,0,0,0
11,Ullahpara,0,0,0,0,0,0,0,0
12,Total,3,69,27,96,1088,1838,2926,30
