,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Sonali and Janata Bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2,Upazila/city corporation,Sonali Bank Number of branch Number of branch,Sonali Bank Account S.D,Sonali Bank Account C.D,Sonali Bank Account F.D,Sonali Bank Account S.T.D,Janata Bank Number of branch Number of branch,Janata Bank Account S.D,Janata Bank Account C.D,Janata Bank Account F.D,Janata Bank Account S.T.D
3,Agailjhara,3,15982,852,497,64,1,0,0,0,0
4,Babuganj,2,0,0,298,37,0,0,0,0,0
5,Bakerganj,5,28800,890,1170,112,4,30000,400,0,30
6,Banaripara,3,8155,665,709,49,0,0,0,0,0
7,Barisal city corporation,5,45150,691,2610,102,8,38332,695,2112,171
8,Barisal sadar,1,7740,89,336,14,0,0,0,0,0
9,Gaurnadi,4,32390,315,1712,40,2,6823,246,192,17
10,Hizla,1,4357,472,285,30,0,0,0,0,0
11,Mehendiganj,1,7085,291,356,34,1,8095,326,242,7
12,Muladi,1,1237,5,375,29,1,2414,511,69,12
13,Wazirpur,3,20363,813,672,69,0,0,0,0,0
14,Total,29,171259,5083,9020,580,17,85664,2178,2615,237
