,0,1,2,3,4
0,Number of fisherman and production of fish in following years,,,,
1,(Production in metric ton),,,,
2,Upazila/city corporation,2010-11 Number,2010-11 Production,2009-10 Number,2009-10 Production
3,Agailjhara,3161,47450,3162,40200
4,Babuganj,1632,23226,1632,20100
5,Bakerganj,3215,4500,3150,5400
6,Banaripara,800,1104.36,800,1099.95
7,Barisal city corporation,45,80,48,85
8,Barisal sadar,3280,5867,3349,5913
9,Gaurnadi,455,1660,350,1370
10,Hizla,17553,7108.6,15061,6950.2
11,Mehendiganj,24000,28032,19000,22185
12,Muladi,4851,435.44,4851,465.44
13,Wazirpur,950,22.5,372,15.5
14,Total,59942,119485.9,51775,103784.09
